Time (s),Voltage (V)
1.095999999999999926e-02,3.156842008758795060e-01
1.099999999999999936e-02,2.975752237198821537e-01
1.103999999999999947e-02,2.811141490414590383e-01
1.107999999999999957e-02,2.665997307279844852e-01
1.111999999999999968e-02,2.543289574050965340e-01
1.115999999999999978e-02,2.445872490994470405e-01
1.119999999999999989e-02,2.376381603480157978e-01
1.123999999999999999e-02,2.337130488654327598e-01
1.128000000000000010e-02,2.330011852000559713e-01
1.132000000000000020e-02,2.356407716655632700e-01
1.136000000000000031e-02,2.417113083231063331e-01
1.140000000000000041e-02,2.512276912105077531e-01
1.144000000000000052e-02,2.641363558139464551e-01
1.148000000000000062e-02,2.803136904194744039e-01
1.152000000000000073e-02,2.995668437764908432e-01
1.156000000000000083e-02,3.216369443861209487e-01
1.159999999999999920e-02,3.462046399962189214e-01
1.163999999999999931e-02,3.728977609381197156e-01
1.167999999999999941e-02,4.013008149905709643e-01
1.171999999999999952e-02,4.309659392619883400e-01
1.175999999999999962e-02,4.614248702025146032e-01
1.179999999999999973e-02,4.922014494437281784e-01
1.183999999999999983e-02,5.228241627991134788e-01
1.187999999999999994e-02,5.528382133523793707e-01
1.192000000000000004e-02,5.818166568072726808e-01
1.196000000000000014e-02,6.093701766702626088e-01
1.200000000000000025e-02,6.351551457726556382e-01
1.204000000000000035e-02,6.588797055259083546e-01
1.208000000000000046e-02,6.803076907765249759e-01
1.212000000000000056e-02,6.992603312672630578e-01
1.216000000000000067e-02,7.156157653080917891e-01
1.220000000000000077e-02,7.293065020793267905e-01
1.223999999999999914e-02,7.403150610438725687e-01
1.227999999999999925e-02,7.486680957510382095e-01
1.231999999999999935e-02,7.544293711155783955e-01
1.235999999999999946e-02,7.576920052124261895e-01
1.239999999999999956e-02,7.585704069526990612e-01
1.243999999999999967e-02,7.571923390456236636e-01
1.247999999999999977e-02,7.536915119035516586e-01
1.251999999999999988e-02,7.482010702264526580e-01
1.255999999999999998e-02,7.408482725373485289e-01
1.260000000000000009e-02,7.317505884264846605e-01
1.264000000000000019e-02,7.210133528676967440e-01
1.268000000000000030e-02,7.087290263099913501e-01
1.272000000000000040e-02,6.949780181350887487e-01
1.276000000000000051e-02,6.798309442675026792e-01
1.280000000000000061e-02,6.633521116854971256e-01
1.284000000000000072e-02,6.456039572362329837e-01
1.288000000000000082e-02,6.266521187060449805e-01
1.291999999999999919e-02,6.065707848523207435e-01
1.295999999999999930e-02,5.854479593908574753e-01
